Sorular : ;Cevaplar : 
JBoss EAP 7.4 to 8.1 Migration projesinde amaç ve kapsam nedir?;"Bu doküman, abbt2 sunucusunda JBoss EAP 7.4'ten EAP 8.1.5'e geçiş sürecini anlatmaktadır. EAP 7.4 üzerindeki konfigürasyonlar daha önceden EAP 7.2'den migrate edilmiş durumdaydı. Bu migration işleminde JBoss Server Migration Tool, JBoss EAP Installation Manager ve JDK 25 kullanılmıştır."
JBoss EAP migration yolu nedir?;"EAP 7.2 (orijinal) --> EAP 7.4 (daha önce yapılmış) --> EAP 8.1.5 (bu dokümandaki işlem)."
JBoss EAP migration hangi sunucuda yapıldı?;"abbt2 sunucusunda yapıldı. IP adresi 172.16.5.8'dir. İşletim sistemi Windows Server 2019'dur."
JBoss EAP migration kaynak ve hedef versiyonları nelerdir?;"Kaynak: JBoss EAP 7.4 (7.2'den migrate edilmiş konfigürasyonlar). Hedef: JBoss EAP 8.1 Update 5.0 (8.1.5)."
JBoss EAP 8.1.5 migration'da hangi JDK kullanıldı?;"JDK 25.0.1 kullanıldı. EAP 8.x minimum JDK 17 gerektirir."
JBoss EAP migration sunucusunun port bilgileri nelerdir?;"HTTP Port: 8080, HTTPS Port: 8443, Management Port: 9897, Management HTTPS Port: 9343, Native Port: 9899."
JBoss EAP migration dizin yapısı nasıldır?;"JDK: C:\Program Files\Java\jdk-25. Eski EAP 7.4: C:\Jboss\jboss-eap-7.4. Yeni EAP 8.1.5: C:\JBoss\jboss-eap-8.1. Installer dosyaları: C:\Jboss\EAP-8.1.5_Installer. Migration Tool: C:\Jboss\EAP-8.1.5_Installer\jboss-server-migration. Installation Manager: C:\Jboss\EAP-8.1.5_Installer\jboss-eap-installation-manager-8.1. Offline Maven Repository: C:\Jboss\EAP-8.1.5_Installer\jboss-eap-8.1.5.GA-maven-repository."
JDK 25 nasıl kuruldu?;"C:\Jboss\EAP-8.1.5_Installer\jdk-25.0.1_windows_x64_bin installer'ı çalıştırıldı. Kurulum dizini: C:\Program Files\Java\jdk-25. Doğrulama komutu: ""C:\Program Files\Java\jdk-25\bin\java.exe"" -version. Ortam değişkenleri: set JAVA_HOME=C:\Program Files\Java\jdk-25 ve set PATH=%JAVA_HOME%\bin;%PATH%. Bu değişkenlerin kalıcı olması için Sistem Ortam Değişkenleri'nden ayarlanması gerekir."
EAP 8.1.5 nasıl kuruldu?;"EAP 8.1.5, kybt2 sunucusundan alınan installer dosyaları ile offline olarak Installation Manager kullanılarak kuruldu."
EAP 8.1.5 kurulum komutu nedir?;"cd C:\Jboss\EAP-8.1.5_Installer\jboss-eap-installation-manager-8.1\bin komutu sonrası: jboss-eap-installation-manager.bat install --profile eap-8.1 --dir C:\JBoss\jboss-eap-8.1 --repositories file:///C:/Jboss/EAP-8.1.5_Installer/jboss-eap-8.1.5.GA-maven-repository/maven-repository"
EAP 8.1.5 kurulumunda UnsupportedClassVersionError hatası neden oluştu ve nasıl çözüldü?;"Sebep: Sistem varsayılan Java'sı JDK 8 idi, installation manager JDK 25 ile çalışması gerekiyordu. Çözüm: JAVA_HOME ve PATH değişkenleri JDK 25'e ayarlandı."
EAP 8.1.5 kurulumunda Unknown profile eap-8.0 hatası neden oluştu ve nasıl çözüldü?;"Sebep: Installation manager 8.1.5 versiyonu eap-8.0 profilini tanımıyor. Çözüm: --profile eap-8.0 yerine --profile eap-8.1 kullanıldı."
EAP 8.1.5 kurulumunda The given file path is invalid hatası neden oluştu ve nasıl çözüldü?;"Sebep: Windows'ta file: protokolü için URI formatı gerekli. Çözüm: file:C:\... yerine file:///C:/... kullanıldı ve ters slash'lar düz slash'a çevrildi."
EAP 8.1.5 kurulum sonucu nedir?;"Server created in C:\JBoss\jboss-eap-8.1. Operation completed in 211,81 seconds."
JBoss Server Migration Tool ne için kullanıldı?;"7.4'teki konfigürasyonların (standalone.xml, modüller, datasource'lar vs.) 8.1'e taşınması için JBoss Server Migration Tool kullanıldı."
JBoss Server Migration Tool nereden temin edilir?;"Migration Tool, EAP 8.x kurulumunda dahili olarak gelmez. Red Hat Customer Portal'dan ayrı olarak indirilir. Dosya: jboss-eap-8.x-server-migration.zip. Extract dizini: C:\Jboss\EAP-8.1.5_Installer\jboss-server-migration\."
JBoss Server Migration Tool komutu nedir?;"cd C:\Jboss\EAP-8.1.5_Installer\jboss-server-migration komutu sonrası: jboss-server-migration.bat --source C:\Jboss\jboss-eap-7.4 --target C:\JBoss\jboss-eap-8.1"
Migration Tool'da UnsupportedOperationException Setting a system-wide Policy object is not supported hatası neden oluştu ve nasıl çözüldü?;"Sebep: EAP 7.4'teki migration tool JDK 25 ile uyumsuz. Çözüm: 7.4'teki tool yerine Red Hat Portal'dan indirilen ayrı migration tool kullanıldı."
standalone-load-balancer.xml migrasyonu neden başarısız oldu ve nasıl çözüldü?;"Sebep: Load-balancer konfigürasyonundaki Elytron subsystem uyumsuzluğu. Tool load-balancer'da takılıp standalone.xml'e ulaşamıyordu. Çözüm: standalone-load-balancer.xml dosyası .SKIP olarak rename edildi, migration tool tekrar çalıştırıldı, başarılı olduktan sonra dosya adı geri alındı. Bu dosya kullanılmadığı için atlandı."
Migration Tool hangi konfigürasyonları başarıyla migrate etti?;"standalone.xml SUCCESS, standalone-full.xml SUCCESS, standalone-full-ha.xml SUCCESS, standalone-ha.xml SUCCESS. standalone-load-balancer.xml ATLANILDI (kullanılmıyor)."
Migration Tool otomatik olarak hangi işlemleri yaptı?;"Domain property'lerini güncelledi (master/slave -> primary/secondary). Desteklenmeyen subsystem ve extension'ları kaldırdı (org.jboss.as.jsr77, org.jboss.as.security). Referans edilen modülleri taşıdı. Legacy security realm'lerini Elytron'a dönüştürdü."
EAP 8.1.5 server nasıl başlatılır ve doğrulanır?;"Manuel başlatma: C:\JBoss\jboss-eap-8.1\bin\standalone.bat. Durum kontrolü: jboss-cli.bat --connect --controller=172.16.5.8:9897 --command="":read-attribute(name=server-state)"". Sonuç: outcome success, result running. Web arayüzü: http://172.16.5.8:8080 Welcome to JBoss EAP 8 sayfası, http://172.16.5.8:9897 Admin Console erişimi."
Abbaküs.ear deployment nasıl yapıldı?;"Başka bir sunucudaki (EAP 8.1.0 kurulu) deployment dosyaları kopyalandı. jconn4 (Sybase JDBC driver) ve Abbaküs.ear (ana uygulama - 71 MB) C:\JBoss\jboss-eap-8.1\standalone\deployments\ dizinine kopyalandı. Her iki deployment başarılı oldu."
Abbaküs.ear deployment sonrası bağlanan datasource'lar nelerdir?;"java:/jdbc/TestServer, java:/jdbc/Kybele, java:/jdbc/TestServerAuto, java:/jdbc/KybeleAuto. Web context: /Kybele."
JBoss EAP 8 Windows servisi nasıl kurulur?;"Yönetici olarak açılmış cmd'de: set JBOSS_HOME=C:\JBoss\jboss-eap-8.1, ardından cd C:\JBoss\jboss-eap-8.1\bin ve service.bat install /startup /controller=172.16.5.8:9897. /startup parametresi servisin otomatik başlatılmasını sağlar. /controller doğru management adresi ve portunu belirtir."
JBoss EAP 8 Windows servis bilgileri nelerdir?;"Servis Adı: JBossEAP8. Görünen Ad: JBossEAP8. Başlatma Tipi: Otomatik (auto). Config Dosyası: standalone.xml. Log Dizini: C:\JBoss\jboss-eap-8.1\standalone\log."
JBoss EAP 8 Windows servisi nasıl yönetilir?;"net start JBossEAP8 ile servis başlatılır. net stop JBossEAP8 ile servis durdurulur. service.bat uninstall ile servis kaldırılır (admin cmd gerekli)."
